call_number,category,date_acquired,title,id,author,correction_date,correction_source
PJ1809 .S48 1920,Egypt & North Africa,,Demotische Urkunden zum ägyptischen Bürgschaftsrechte vorzüglich der Ptolemäerzeit,,,,
PJ1521 .V58 2001,Egypt & North Africa,,Some coins of Artaxerxes and other short texts in the Demotic script found on various objects and gathered from many publications,,,,
DF261.O5 P56 1982,European and Classical Antiquity,,Olympia: complete guide,,,,
NK7307 .D45 1996,Cross-Cultural Studies & Other,,Ancient gold jewelry at the Dallas Museum of Art,,,,
NB1007.G3 E84 1998,"China, South Asia, & East Asia",,"Art of Gandhara: 10th-28th November, 1998",,,,
NB1043.24 .D36 2016,"China, South Asia, & East Asia",,北朝艺术研究院藏品图录,,,,
PJ1483 .P763 2016,Ancient Western Asia,,Problems of canonicity and identity formation in ancient Egypt and Mesopotamia,,,,
DS110.E458 B54 1998,Ancient Western Asia,,"Tel Miqne-Ekron: report on the 1995-1996 excavations in Field XNW : areas 77, 78, 79, 89, 90, 101, 102 : Iron Age I : text and data base (plates, sections, plans)",,,,
GN778.22.S65 D73 1989,The Caucasus & The Western Steppe,,Древности Ставрополья,,,,
DS110.G5 S425 2013,Ancient Western Asia,,"Gezer VII: the middle Bronze and later fortifications in fields II, IV, and VIII",,,,
DS797.72.J5369 J536 2014,"China, South Asia, & East Asia",,胶州板桥镇遗址考古文物图集,,,,
DK511.C2 D85 1991,The Caucasus & The Western Steppe,,Очерк древей культуры Чечено-Ингушетии: (конец II - первая половина I тысячелетия до н,,,,
DS797.44.T365 T346 2016,"China, South Asia, & East Asia",,"汤阴五里岗战国墓地=The Warring States period cemetery in Wuligang, Tangyin",,,,
BT982 .C45 2010,Ancient Western Asia,,The good and evil serpent: how a universal symbol became Christianized,,,,
PA3308.B7 M49 1916,Egypt & North Africa,,Griechische texte aus Ägypten,,,,
DS748 .L58 1988,"China, South Asia, & East Asia",,Everyday life in early Imperial China during the Han period 202 BC-AD 220,,,,
N2830 .A5 1930,European and Classical Antiquity,,Collezioni capitoline: Palazzo del museo; Palazzo dei conservatori; Museo Mussolini; Pinacoteca e Tabularium,,,,
DS329.4 .H57 1992 Non-circulating,Central Asia & Siberia,2009-07-22T00:00:00.000000,History of civilizations of Central Asia.,,,,
DK511.D8 L8 1949,The Caucasus & The Western Steppe,,"Очерки истории Подонья-Приазовья, kn",,,,
DK929.5.S37 L96 1996,Central Asia & Siberia,,Sarazm (Tadjikistan) céramiques: chalcolithique et bronze ancien,,,,
DS135.I85 R67 1895 Bd.1-2,European and Classical Antiquity,,Geschichte der Juden in Rom,,,,
PJ5671.C975 A6 2016,Ancient Western Asia,,The works of Cyrillona,,,,
DS286 .G3 1964,Ancient Western Asia,,La montée des Sassanides et l'heure de Palmyre: vue d'ensemble,,,,
DS66 .K79 2016,Ancient Western Asia,,A historical geography of the Hittite heartland,,,,
PJ4065.N3 F4 1973,Ancient Western Asia,,Nanna-Suen's journey to Nippur,,,,
CJ536.M4 J6 1990,European and Classical Antiquity,,The coinage of Metapontum,,,,
P945 .Z8 1980,Ancient Western Asia,,"The Hittite dictionary of the Oriental Institute of the University of Chicago, v",,,,
DR50.47.S39 L39 2015,European and Classical Antiquity,,Скитите в Тракия (VII в,,,,
BR160.S8 F7 1983,European and Classical Antiquity,,"Histoire ecclésiastique, t",,,,
GN824.G4 C53 1989,The Caucasus & The Western Steppe,,К истории нагорья Западной Грузии доклассовой эпохи,,,,
PJ3545 .P76 1998,Ancient Western Asia,,"The prosopography of the Neo-Assyrian empire, v",,,,
P945.Z8 T584 2001,Ancient Western Asia,,Hethitisches Handwörterbuch,,,,
CJ1363 .G375 2017,Central Asia & Siberia,,Sylloge Nummorum Sasanidarum Tajikistan: Sasanian coins and their imitations from Sogdiana and Tocharistan,,,,
DK30 .D75 1982,The Caucasus & The Western Steppe,,Древние памятники культуры на территории СССР: сборник научных трудов,,,,
DS54.3 .C9672,Ancient Western Asia,,Cypriot inscribed stones,,,,
N7346.S56 S78 1985,"China, South Asia, & East Asia",,丝绸之路造型艺术,,,,
DF261.T5 E65 2018,European and Classical Antiquity,2025-12-17,"Archaiologiko ergo Thessalias kai Stereas Helladas, 6, 2018 : praktika epistēmonikēs synantēsēs, Volos 1-4.3.2018 /",,,,
QK15 .Z87 2013,Cross-Cultural Studies & Other,,Zur Kulturgeschichte der Botanik,,,,
DA690.S13 F7 1972 v.1-2,European and Classical Antiquity,,Verulamium excavations,,,,
DS247.Y43 D423 2006,Ancient Western Asia,,"Tamna⁽, antica capital di Qatabān = Tamna⁽, capitale antique de Qatabān",,,,
DS56 .R46 1952,Ancient Western Asia,,Compte rendu de la troisième rencontre assyriologique internationale,,,,
DS747.42 .L468 2002,"China, South Asia, & East Asia",,魏晋生活掠影=A glimpse of life in Wei Jin dynasties,,,,
GN776.3.Q25 G836 2016,"China, South Asia, & East Asia",,2015中国・广河齐家文化与华夏文明国际研讨会论文集=The paper collection of International Seminar on Qijia Culture and Huaxia Civilization,,,,
GN778.2.K63 K69 2013,The Caucasus & The Western Steppe,,"Кобанская культура и окружающий мир: взаимосвязи, проблемы судьбы и следов разнокультурных инфильтраций в местной среде = Koban culture and beyond: interdependencies, problems, and traces of multicultural infiltration in the local environment",,,,
DF503 .T73 1958,European and Classical Antiquity,,"Traité d'études byzantines, t",,,,
NA2515 .V613 2009,European and Classical Antiquity,,On architecture,,,,
PL2447 .M83 2017,"China, South Asia, & East Asia",,汉金文辑校,,,,
GN778.22.R9 D57 2016,Central Asia & Siberia,,Курганы Приморья =The kurgans of Primorye,,,,
PJ1531.R4 G4 1902,Egypt & North Africa,,Der demotische Teil der dreisprachigen Inschrift von Rosette,,,,
DK509 .N584 1990,The Caucasus & The Western Steppe,,Монументальная скульптура древнейших земледельцев и скотоводов Северо-Западного Причерноморья,,,,
QB23 .P56 1997,Egypt & North Africa,,Perceptum Canonis Ptolomei,,,,
DS797.84.A48 X564 2015,"China, South Asia, & East Asia",,新疆阿勒泰地区考古与历史文集,,,,
HN9 .P76 1984,"China, South Asia, & East Asia",,Проблемы социальных отношений и форм зависимости на древнем Востоке,,,,
N7343.5 .T513 1971,"China, South Asia, & East Asia",,"Chinese connoisseurship: the Ko ku yao lun, the essential criteria of antiquities",,,,
P115 .M44 2018,Cross-Cultural Studies & Other,,Mehrsprachigkeit: vom Alten Orient bis zum Esperanto,,,,
QE537.2.T9 S69 1981,Ancient Western Asia,,Türkiye ve çevresinin tarihsel deprem kataloğu (M,,,,
DS154.9.T39 B46 1995,Ancient Western Asia,,Excavations at Tawilan in southern Jordan,,,,
PA3308 .P378 1927,Egypt & North Africa,,Juristische Urkunden der Ptolemäerzeit,,,,
GN776.22.R9 P76 1976,The Caucasus & The Western Steppe,,Проблемы археологии Поволжья и Приуралья: неолит и бронзовый век,,,,
GN778.R9 K57 1979,Central Asia & Siberia,,Бронзовый век Васюганья,,,,
BL2370.H5 H27 1994,Ancient Western Asia,,Geschichte der hethitischen Religion,,,,
DK511.C2 K753 1980,The Caucasus & The Western Steppe,,"Х Крупновские чтения по археологии Северного Кавказа, Москва: тезисы докладов и сообщений 17-18 марта 1980 г",,,,
NK4165 .A35 1999,"China, South Asia, & East Asia",,L'âge d'or de la céramique chinoise VIe-XIVe siècles: collection Meiyintang,,,,
DK508.9.S95 I45 1968,The Caucasus & The Western Steppe,,Скифы Днепровского лесостепного Левобережья: (курганы Посулья),,,,
GN824.U6 S47 1964,The Caucasus & The Western Steppe,,Основи археології,,,,
NK1069.S513 K35 2001,"China, South Asia, & East Asia",,特別展漢代「王車」の輝き:中国山東省双乳山済北王陵出土文物,,,,
CC97.P7 U53 1980 Non-circulating,Cross-Cultural Studies & Other,2011-03-04T00:00:00.000000,Unconventional archaeology :,,,,
BL2370.H5 R589 2016,Ancient Western Asia,,"Rituels, mythes et prières Hittites",,,,
DF222.2 .I15 1982,European and Classical Antiquity,,"Греческая кoлoнизация, VII-III вв",,,,
CC75 .K3 1975,Cross-Cultural Studies & Other,,Анализ археологических источников: возможности формализ,,,,
DK511.G3 M35 1951,The Caucasus & The Western Steppe,,Histoire de Géorgie,,,,
CB251 .F82 1951 Non-circulating,Ancient Western Asia,2007-10-18T00:00:00.000000,The birth of civilization in the Near East /,,,,
DK755 .A77 1858 Non-circulating,Central Asia & Siberia,2013-01-29T00:00:00.000000,Oriental and western Siberia :,,,,
D90.A4 G25 1999,The Caucasus & The Western Steppe,,Ранняя история Алан: по данным письменных источников,,,,
PA6156.A8 A848 2014 v.2,European and Classical Antiquity,,"Confessions, v",,,,
PA3310 .G45 v.4-5 2015-2016,Egypt & North Africa,,"Papiri dell'Università di Genova (PUG), v",,,,
KL147 .A88 1954,Ancient Western Asia,,Authority and law in the ancient Orient,,,,
DK508.9.K78 K65 1996,The Caucasus & The Western Steppe,,"Горный Крым в эпоху поздней бронзы, начале железного века: этнокультурные процессы)",,,,
NA6049.6.L56 L56 2015,"China, South Asia, & East Asia",,灵隐寺两石塔两经幢现状调查与测绘报告,,,,
BX385.A57 D56 1976,Ancient Western Asia,,Materials for the study of Georgian monasteries in the Western environs of Antioch on the Orontes,,,,
NA5871.A54 C86 1977,The Caucasus & The Western Steppe,,L'architettura della scuola regionale di Ani nell'Armenia medievale: relazione svolta nella seduta del 1° marzo 1976,,,,
DK508.9.Z36 B53 2012,The Caucasus & The Western Steppe,,Скифский царский курган Гайманова Могила,,,,
BQ239.U932 T472 1982,"China, South Asia, & East Asia",,"Буддийские памятники Кара-тепе в Старом Термезе: основные итоги работ, 1974-1977 гг",,,,
DK511.C2 K753 2012,The Caucasus & The Western Steppe,,"Новейшие открытия в археологии Северного Кавказа: исследования и интерпретации : ХХVII Крупновские чтения : материалы Международной научной конференции, Махачкала, 23-28 апреля 2012 г",,,,
NK7167 .K53 1966,European and Classical Antiquity,,Клады болгарских земель,,,,
GN772.22.R9 A37 2016,Central Asia & Siberia,,Алтай в кругу евразийских древностей =Altai among the Eurasian antiquities,,,,
DS154.9.G475 D73 2015,Ancient Western Asia,,"The mysterious wall paintings of Teleilat Ghassul, Jordan: in context",,,,
N5310 .O37 1967,Cross-Cultural Studies & Other,,Утро искусства,,,,
CC110 .V84 2003,Central Asia & Siberia,,Выдaющиеся ученые Сaнкт-Пeтeрбургa и изучение дрeвних культур и цивилизаций Цeнтральной Aзии и Kaвказa,,,,
DS328 .B84 2013,Central Asia & Siberia,,Религии и культы домусульманской Средней Азии (IV в,,,,
DF506 .P6 1968,European and Classical Antiquity,,The Doukai: a contribution to Byzantine prosopography,,,,
BR1720.T35 D4 1948,Ancient Western Asia,,Essai sur Théodore de Mopsueste,,,,
DS285 .P378 2016,Ancient Western Asia,,"The Parthian and early Sasanian empires: adaptation and expansion: proceedings of a conference held in Vienna, 14-16 June 2012",,,,
DS111 .I5 2002,Ancient Western Asia,,In quest of ancient settlements and landscapes: archaeological studies in honour of Ram Gophna,,,,
PJ3211 .D49 2015,Ancient Western Asia,,Devins et lettrés dans l'orbite de Babylone: travaux réalisés dans le cadre du projet ANR Mespériph 2007-2011,,,,
CC79.5.A5 R87 2012,Cross-Cultural Studies & Other,,Social zooarchaeology: humans and animals in prehistory,,,,
DK511.L13 B45 2012,Central Asia & Siberia,,Могильник Кюлялахти Калмистомяки в Северо-западном Приладожье: археологические исследования 2006-2009 годов,,,,
DS33.5 .B48 2016,Central Asia & Siberia,,"Between Rome and China: history, religions and material culture of the Silk Road",,,,
BS1335.3 .G7 1970,Ancient Western Asia,,I & II Kings: a commentary,,,,
DS797.44.Q254 Q258 2015,"China, South Asia, & East Asia",,"淇县西杨庄墓地,黄庄墓地I区发掘报告= Xiyangzhuang cemetery and I district of Huangzhuang cemetery in Qixian county",,,,
DK757 .H25 1992a Non-circulating,Central Asia & Siberia,2012-05-24T00:00:00.000000,"The fifth Pazyryk kurgan and the ""animal style"" /",,,,
GN778.28 .B64 2010,The Caucasus & The Western Steppe,,Kультурогенез и древнee металлoпроизвoдство Восточной Европы,,,,
DS793.M7 N3484 2004,"China, South Asia, & East Asia",,內蒙古地区鮮卑墓葬的发现与硏究,,,,
DK34.S3 E974 2011,The Caucasus & The Western Steppe,,"Европейская Сарматия: Сборник, посвященный Марку Борисовичу Щукину : По материалам конференции, проведенной в рамках XIV чтений памяти Анны Мачинской, Старая Ладога, 26-27 декабря 2009 г",,,,
ND2848 .C36 2016,Central Asia & Siberia,,絲路畫語:唐墓壁画中的丝路文化=Painting Language of Silk Road,,,,
DS797.44.D464 Z465 2013,"China, South Asia, & East Asia",,"中华之源与嵩山文明研究, v",,,,
N7342 .F85 1971,"China, South Asia, & East Asia",,Eugene and Agnes E,,,,
GN780.2.H3 D47 1997,The Caucasus & The Western Steppe,,Металлические изделия к проблеме генезиса культур раннего Гальштата карпато-данубио-нордпонтийского региона = The role of metal wares in the genesis of early Hallstat cultures in the Carpathian-Danubian-Northpontic region,,,,
DK651.S792 P76 2012,The Caucasus & The Western Steppe,,Вербовский могильник кон,,,,
DT73.T3 S46 1986,Egypt & North Africa,,Sen-nefer: die Grabkammer des Bürgermeisters von Theben,,,,
DR98.R63 F73 1986,European and Classical Antiquity,,Фракийский клад из Рогозена,,,,
DK925 .B35 1983,Central Asia & Siberia,,"Бaктрия - Тохаристан на дрeвнeм и срeднeвековом Вoстоке: тeзисы дoклaдoв конференции, пoсвященной дeсятилетию Южно-Taджикистанской aрхeoлoгической экспедиции",,,,
